0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
0,2,
1,3,
2,4,
3,5,
4,6,
5,7,
6,8,
7,9,
8,10,
9,11,
10,12,
11,13,
12,14,
13,15,
14,16,
15,17,
16,18,
17,19,
18,20,
19,21,
20,22,
21,23,
22,24,
23,25,
24,26,
25,27,
26,28,
27,29,
28,30,
0,3,
1,4,
2,5,
3,6,
4,7,
5,8,
6,9,
7,10,
8,11,
9,12,
10,13,
11,14,
12,15,
13,16,
14,17,
15,18,
16,19,
17,20,
18,21,
19,22,
20,23,
21,24,
22,25,
23,26,
24,27,
25,28,
26,29,
27,30,
0,4,
1,5,
2,6,
3,7,
4,8,
5,9,
6,10,
7,11,
8,12,
9,13,
10,14,
11,15,
12,16,
13,17,
14,18,
15,19,
16,20,
17,21,
18,22,
19,23,
20,24,
21,25,
22,26,
23,27,
24,28,
25,29,
26,30,
0,5,
1,6,
2,7,
3,8,
4,9,
5,10,
6,11,
7,12,
8,13,
9,14,
10,15,
11,16,
12,17,
13,18,
14,19,
15,20,
16,21,
17,22,
18,23,
19,24,
20,25,
21,26,
22,27,
23,28,
24,29,
25,30,
0,6,
1,7,
2,8,
3,9,
4,10,
5,11,
6,12,
7,13,
8,14,
9,15,
10,16,
11,17,
12,18,
13,19,
14,20,
15,21,
16,22,
17,23,
18,24,
19,25,
20,26,
21,27,
22,28,
23,29,
24,30,
0,7,
1,8,
2,9,
